Country;uri;label
Guinea-Bissau;http://www.wikidata.org/entity/Q1007;Country
Brazil;http://www.wikidata.org/entity/Q155;Country
Cape Verde;http://www.wikidata.org/entity/Q1011;Country
Czech Republic;http://www.wikidata.org/entity/Q213;Country
Barbados;http://www.wikidata.org/entity/Q244;Country
Nauru;http://www.wikidata.org/entity/Q697;Country
Tuvalu;http://www.wikidata.org/entity/Q672;Country
Mongolia;http://www.wikidata.org/entity/Q711;Country
Niger;http://www.wikidata.org/entity/Q1032;Country
Bosnia and Herzegovina;http://www.wikidata.org/entity/Q225;Country
Sweden;http://www.wikidata.org/entity/Q34;Country
Portugal;http://www.wikidata.org/entity/Q45;Country
Cook Islands;http://www.wikidata.org/entity/Q26988;Country
Singapore;http://www.wikidata.org/entity/Q334;Country
Cambodia;http://www.wikidata.org/entity/Q424;Country
Congo;http://www.wikidata.org/entity/Q974;Country
El Salvador;http://www.wikidata.org/entity/Q792;Country
Switzerland;http://www.wikidata.org/entity/Q39;Country
Dominica;http://www.wikidata.org/entity/Q784;Country
Hungary;http://www.wikidata.org/entity/Q28;Country
Mauritius;http://www.wikidata.org/entity/Q1027;Country
Iraq;http://www.wikidata.org/entity/Q796;Country
Rwanda;http://www.wikidata.org/entity/Q1037;Country
Azerbaijan;http://www.wikidata.org/entity/Q227;Country
Thailand;http://www.wikidata.org/entity/Q869;Country
Bahamas;http://www.wikidata.org/entity/Q778;Country
Sierra Leone;http://www.wikidata.org/entity/Q1044;Country
Kenya;http://www.wikidata.org/entity/Q114;Country
Algeria;http://www.wikidata.org/entity/Q262;Country
Belgium;http://www.wikidata.org/entity/Q31;Country
Australia;http://www.wikidata.org/entity/Q408;Country
Niue;http://www.wikidata.org/entity/Q34020;Country
Tunisia;http://www.wikidata.org/entity/Q948;Country
Swaziland;http://www.wikidata.org/entity/Q1050;Country
Ireland;http://www.wikidata.org/entity/Q27;Country
Latvia;http://www.wikidata.org/entity/Q211;Country
Cuba;http://www.wikidata.org/entity/Q241;Country
Seychelles;http://www.wikidata.org/entity/Q1042;Country
Nepal;http://www.wikidata.org/entity/Q837;Country
China;http://www.wikidata.org/entity/Q148;Country
Djibouti;http://www.wikidata.org/entity/Q977;Country
Georgia;http://www.wikidata.org/entity/Q230;Country
Jordan;http://www.wikidata.org/entity/Q810;Country
Tanzania;http://www.wikidata.org/entity/Q924;Country
Senegal;http://www.wikidata.org/entity/Q1041;Country
Argentina;http://www.wikidata.org/entity/Q414;Country
Slovenia;http://www.wikidata.org/entity/Q215;Country
Kiribati;http://www.wikidata.org/entity/Q710;Country
Finland;http://www.wikidata.org/entity/Q33;Country
New Zealand;http://www.wikidata.org/entity/Q664;Country
Samoa;http://www.wikidata.org/entity/Q683;Country
Oman;http://www.wikidata.org/entity/Q842;Country
Costa Rica;http://www.wikidata.org/entity/Q800;Country
Cameroon;http://www.wikidata.org/entity/Q1009;Country
Armenia;http://www.wikidata.org/entity/Q399;Country
Eritrea;http://www.wikidata.org/entity/Q986;Country
Belize;http://www.wikidata.org/entity/Q242;Country
Mexico;http://www.wikidata.org/entity/Q96;Country
Qatar;http://www.wikidata.org/entity/Q846;Country
Israel;http://www.wikidata.org/entity/Q801;Country
Yemen;http://www.wikidata.org/entity/Q805;Country
